name,nature,menu_parent,variant_matric,value,location,price,image,description,meta_description,meta_keyword _ __,view,active,video,how2fix,Tools needed
Calling Bell Repair,task,Calling Bell,,,Hyderabad,0,Electrical/door-bell-switches.jpg,"When your doorbell or door chime doesn't ring, the fault could be in any part of the circuitry -- the button, the bell or chime, or the transformer. The transformer is the electrical component that steps down the 110-120-volt current to the 10 to 18 volts at which doorbells and chimes operate. You can work safely on all parts of a doorbell circuit except the transformer without disconnecting the power.",Install a new door bell switch and bell,,,1,JRBvPAU6_LM,"1. Remove screws that hold doorbell push button to your house.<br><br>2. Pull out button as far as circuit wires allow, then detach wires by loosening terminal screws on button. Bring the two bare wire ends together. If bell rings, you know fault is in button. Install new one by connecting the two wires to terminal screws of new button and reattaching button to your house. Doorbell button is a single-pole switch (two wires attached), and you can place either wire under either screw.<br><br>3. the two bare wire ends together. If bell rings, you know fault is in button. Install new one by connecting the two wires to terminal screws of new button and reattaching button to your house. Doorbell button is a single-pole switch (two wires attached), and you can place either wire under either screw.If bell doesn't ring when you bring the two bare wire ends together, fault lies elsewhere -- in bell or chime assembly, wiring, or transformer. Remove snap-on cover of bell or chime. Removal may be harder than you expect; there are several different types of covers, and you may have to try several procedures. Try lifting cover slightly upward and then pulling it out. If this doesn't work, pull it straight out without first lifting it up. Or look to see whether snap-on cover is held to bell or chime assembly with prongs; if so, depress prongs and pull cover to release it. Whatever you do, never pull so hard that you risk damaging decorative cover.<br><br>4. Once cover is removed, look for two, three, or more terminals and wires, depending on how many tones ring in your doorbell system. A standard bell or buzzer has two wires. Detach wires by loosening terminal screws, then connect them to 12-volt circuit tester, or attach them to terminal screws on substitute bell or chime. An inexpensive bell or buzzer or a 12-volt car lamp bulb in a socket with two wires can be used for testing purposes. If test bell or buzzer sounds or bulb lights when you push doorbell button, you will have to install new bell or chime.<br><br>5. If you have a chime assembly with three or more wires, tag them with masking tape: ""T"" for transformer, ""2"" for front door chime, and ""1"" for the back door chime. Loosen terminal screws, remove all wires, and connect wires labeled ""T"" and ""2"" to screw terminals on test bell or bulb. If test bell rings or bulb lights when you push front door button, old chime set is faulty. To check this conclusion, connect wires labeled ""T"" and ""1"" to screw terminals on test bell. If bell rings when you push back door button, then you're certain chimes must be replaced.<br><br>6. three or more wires, tag them with masking tape: ""T"" for transformer, ""2"" for front door chime, and ""1"" for the back door chime. Loosen terminal screws, remove all wires, and connect wires labeled ""T"" and ""2"" to screw terminals on test bell or bulb. If test bell rings or bulb lights when you push front door button, old chime set is faulty. To check this conclusion, connect wires labeled ""T"" and ""1"" to screw terminals on test bell. If bell rings when you push back door button, then you're certain chimes must be replaced. If bell doesn't ring or bulb doesn't light at button or bell box, both are okay. By process of elimination, you now know problem must be in transformer or wiring. You'll usually find transformer mounted on electrical junction box, subpanel, or main entrance panel. Bell wires are attached to exposed terminal screws on transformer. Connect test bell directly to exposed low-voltage transformer terminals; don't touch any other screws. If bell doesn't ring, transformer is defective or not getting power. Caution: Transformer is connected directly to power supply, and it carries current that can hurt you. Before working on transformer, deenergize branch circuit that supplies power to transformer. Remove appropriate fuse, trip correct circuit breaker, or throw main switch to shut off all electricity in your home.<br><br>7. Before replacing transformer, check to make sure it's getting power from the 110-120-volt circuit. With circuit deenergized, disconnect transformer from line wires. Then turn circuit back on again and touch probes of 110-120-volt circuit tester to bare wire ends. If tester light glows or indicator reads 110-120 volts, circuit is okay.<br><br>8. 110-120-volt circuit tester to bare wire ends. If tester light glows or indicator reads 110-120 volts, circuit is okay. If transformer is defective, deenergize circuit, and remove transformer. Buy replacement transformer of the same voltage and wattage. You can find electrical information stamped on transformer, and you should find installation instructions on package. Follow instructions carefully. Use crimp-on connectors or wirenuts to attach new transformer to circuit line wires of your electrical system. Then connect bell wires to low-voltage screw terminals on transformer, turn power back on, and press doorbell button. If you've installed transformer properly, you should hear bell or chime.<br><br>9. same voltage and wattage. You can find electrical information stamped on transformer, and you should find installation instructions on package. Follow instructions carefully. Use crimp-on connectors or wirenuts to attach new transformer to circuit line wires of your electrical system. Then connect bell wires to low-voltage screw terminals on transformer, turn power back on, and press doorbell button. If you've installed transformer properly, you should hear bell or chime. If transformer and its power circuit prove to be working, the only possibility left is a break or loose connection somewhere in bell wiring. Trace bell circuit from transformer to bell or chime to push buttons, searching for loose terminal screw or wire joint. If this proves unsuccessful, you'll have to check each segment of circuit with continuity tester.<br><br>10.  somewhere in bell wiring. Trace bell circuit from transformer to bell or chime to push buttons, searching for loose terminal screw or wire joint. If this proves unsuccessful, you'll have to check each segment of circuit with continuity tester.To test each segment of circuit, disconnect bell wires at transformer to deenergize bell circuit. A continuity tester can never be used on an energized circuit. Disconnect transformer wires at bell or chime, and twist them together so they make contact with one another. Go back to transformer and touch probe leads of continuity tester to bare ends of bell wires. If tester lights up or you get a reading on meter dial, circuit has continuity and there are no breaks or loose connections in line. That part of the circuit is all right. If tester does not register, there's a break somewhere. If that segment is fault-free, go on to next segment and check it the same way.<br><br>11. tester can never be used on an energized circuit. Disconnect transformer wires at bell or chime, and twist them together so they make contact with one another. Go back to transformer and touch probe leads of continuity tester to bare ends of bell wires. If tester lights up or you get a reading on meter dial, circuit has continuity and there are no breaks or loose connections in line. That part of the circuit is all right. If tester does not register, there's a break somewhere. If that segment is fault-free, go on to next segment and check it the same way.If there is a break, you must try to locate it and make repairs. Sometimes, however, especially where much of the bell circuit wiring is hidden within walls or is otherwise inaccessible, the easiest course of action is to run new segment of bell wire along whatever path is easiest and forget about old wiring segment.<br><br> Source: HowStuffWorks",
Switch Replacement,task,Power Wiring,,,Hyderabad,100,Electrical/electrical-switch.jpg,"You flip a switch to light a darkened room, and nothing happens. The problem is usually a dead bulb. However if a replacement doesn't do the trick and the circuit breaker isn't tripped, you've probably got a blown switch.If you're a complete novice when it comes to the electrics, hiring a qualified electrician is the safest way to get your home's spark back without getting shocked.",Replace an electric switch. ,,,1,imia1J7a8No,"1. Turn off the power to the switch at the main circuit breaker or fuse panel.<br><br>2. Unscrew and remove the switch plate; then use a voltage tester to make sure that the circuit is dead.<br><br>3. Unscrew the switch from the electrical box and pull it out with the wires still attached. Two or three wires will be attached to the switch: an incoming hot wire, which is black; a return wire, which carries the load to the fixture and may be black, red, or any other color except green; and sometimes a grounding wire, which is green or bare copper. There may be other wires in the box, but you are only dealing with the ones connected directly to the switch. You may find a white wire that has black tape on it connected to the switch. This tape indicates that the white wire is being used as a black or colored wire in the switch leg, so it's not neutral.<br><br>4. Compare your new switch with the one you're replacing to find the corresponding locations for the electrical screw connectors. Because the power is off, you can match up the connectors the easy way: Instead of disconnecting all the wires at once and possibly getting confused, unscrew and connect one wire at a time.<br><br>5.  Attach the first wire you unscrew to the same-colored screw on the new switch as it was on the old; do the same with the second. To connect a wire to a terminal, strip off about 1/2 inch of insulation, using a wire stripper, and twist the end into a clockwise loop with long-nose pliers. The loop must wrap at least two-thirds but no more than three-quarters of the way around the terminal screw. Hook the wire clockwise around the screw so when you tighten the screw with a screwdriver, the clockwise force of the tightening screw makes the loop wrap tighter around the screw. <br><br>6. Gently push the new, wired switch back into the electrical box and screw it in place.<br><br>7. Screw on the switch plate and turn on the power.",
Switch Board + connection,task,Power Wiring,,,Hyderabad,350,Electrical/electrical-switch-board.jpg,"You flip a switch to light a darkened room, and nothing happens. The problem is usually a dead bulb. However if a replacement doesn't do the trick and the circuit breaker isn't tripped, you've probably got a blown switch.If you're a complete novice when it comes to the electrics, hiring a qualified electrician is the safest way to get your home's spark back without getting shocked.",Install a new switch board,,,1,,"1.Make certain that the electricity is turned off to the circuit that you are working on.<br><br> 2. The light fixtures are usually on the lower amp circuit breakers (usually 15 amps). <br><br> 3. Remove the outlet or switch cover plate. Traditional outlet plates usually have one screw per outlet (but some including GFCIs have two), and switch plates two per switch. There may be multiple switches or outlets in one box, but you can replace just one if needed. If you need to replace more than one, work on one at a time so that you do not confuse the wiring. <br><br> 4. You will see two screws, one at the top and one at the bottom, that hold the switch/outlet in the electrical box. <br><br> 5.  Label the wires with some sort of identifying mark on masking tape wrapped around each wire. Use the same mark for each wire connected to the same terminal screw of the device. The ""hot"" (usually black or red) wires should be connected to the side that the shorter plug slot is on and generally have gold colored screws. The ""neutral"" white wires should be connected to the side that the taller plug slot is on and generally have silver screws. The bare-copper or green wire will connect to the green ground screw attached to one of the outlet mounting brackets. There may be one or two sets of wires connected to your outlet, depending on its location in the circuit, and it does not matter which wire of a colored pair goes to which screw. <br><br> 6. For Ground Fault Circuit Interrupter (GFCI) receptacles (these have ""Test"" and ""Reset"" buttons and are used in bathrooms, outdoors, and other locations within 6 feet of a water source)<br><br> 7. A GFCI receptacle can provide ""downstream"" protection to other receptacles. <br><br> 8. Some things should not be connected to GFCI receptacles because of the possibility for ""nuisance tripping""; for example, refrigerators, fluorescent lights, laser printers, garbage disposals, trash compactors, dish washers, clothes washers and dryers, home heating and cooling systems, artesian well and driven point jet type pumps, and freezers. <br><br> 9. Label the wires with some sort of identifying mark on masking tape wrapped around each wire. Use the same mark for each wire connected to the same terminal screw of the device. Determine the type of switch you have. A single-pole switch (one switch controls the light fixture(s)) will have two screws and be marked ""ON"" and ""OFF"" if a toggle type, a 3-way switch (two switches control the light fixture(s), typically at each end of a stairwell) will have three screws, one of which is black, and a 4-way switch (three switches control the light fixture(s)) will have four screws, two of which are black. Both the 3-way and 4-way switches do not have ""ON"" and ""OFF"" markings. You must use the same type of switch that you are replacing! <br><br> 10. You should now have marked each wire in the box per device with a label, and have the new replacement devices to connect.  <br><br> 11. After you have securely tightened the wires (wrap the wire clockwise around the screw",
House Wiring Replacement,task,Power Wiring,,,Hyderabad,0,Electrical/WiringLayout.jpg,"House wiring replacement. Apart from new house wiring work, a room might not receive power supply and whole room circuit is burnt. Such cases, we need to replace whole room wiring. ",Install or replace whole house or a room wiring ,,,1,,,
Direct from MCB Connection,task,Inverter,,,Hyderabad,350,Electrical/Inverter-base.jpg,"Inverter installation without complex load balancing. Inverters become very warm or hot when operating at large power outputs and need suitable ventilation and cooling air-flow. Insects often like to nest in the heat dissipation vents. To prevent this, inverters should be carefully sited and regularly checked. Inverters should be readily accessible in case they need to be electrically isolated in an emergency. Lightning can damage inverters. The risk should be assessed by the designer and appropriate protection installed if required.",Installation of inverter. ,,,1,,"1. Identify the points, which are to be connected to the inverter.<br><br>2. Ensure the appliances, which are to be provided with backup; do not exceed the capacity of the inverter.<br><br>3. Consider the best suited position for the inverter installation as per all the necessary precautions.<br><br>a. Mobile installation/connection: With your battery bank connected the inverter, the INPUT TERMINAL is plugged into 15Amp socket. An adaptor/extension is then plugged into the OUTPUT TERMINAL. Your appliances can then be connected to the Adaptor / extension.<br><br>b. Distribution Board (DB) installation/connection: With battery bank connected to the inverter, the INPUT TERMINAL is connected to the Mains power in your Distribution Boards (DB). The OUTPUT TERMINAL is connected to the relevant Miniature Circuit Breakers (MCBs) within your DB which you would like your inverter to run. These MCBs can be separated and if necessary reconfigured according to your requirements.<br><br>Source : microtekinverters",
Inverter INSTALLATION + Wiring,task,Inverter,,,Hyderabad,1250,Electrical/Inverter-base.jpg,"Installing inverter connections and wiring. Inverter capacity would vary based on need. To consume more power in terms of time and number, better capacity inverters need to be used and installation has to be inline with capacity. We suggest you to consult electrican for this activity.",Wiring work for inverter for home,,,1,,"Precautions: 1. Always connect the inverter to a three pin, three-wire grounding mains socket. The socket must be connected to appropriate branch protection (fuse / circuit-breaker).<br><br>2. To switch off the inverter output in emergency, use inverter RESET switch on the Front panel, also disconnect the mains cord.<br><br>3. Avoid installing the inverter in open, excessively humid places or where there is possibility of water. Care must be taken to ensure that the inverter is kept away from heat-emitting appliances such as a heater, blower, oven...Etc. The unit must also be placed in a manner that it avoids exposure to direct sunlight.<br><br>4. The place of the installation should be well ventilated and easily accessible for servicing.<br><br>5. Foreign objects and water must not enter the inverter. Always ensure that no objects containing a liquid are ever kept near the unit.<br><br>6. Keep away from reach of children.<br><br>Source: microtekinverters",
Inverter Battery Replacement,task,Inverter,,,Hyderabad,0,Electrical/Inverter.jpg,Replacing inverter battery,Replacing inverter battery,,,1,5bPcJ9APlzQ,,
Geyser Installation,task,Geyser,Capacity / Size,less than 15lts,Hyderabad,275,Electrical/Geyser-Installation.jpg," Installing the geyser right is necessary to ensure a convenient bathing experience. if the bathroom geyser is not properly installed, it may lead to health hazards.",Installing Bathroom geyser,,,1,sl7ea59dFdQ,," 2 shifting spanners, measuring tape, pipe cutter, water pump pliers, pvc glue, hacksaw, plumbers hemp and wooden planks."
,,,,15-20Lts,Hyderabad,375,,,,,,,,,
,,,,More than 20lts,Hyderabad,450,,,,,,,,,
Geyser Thermostat Replacement,task,Geyser,,,Hyderabad,0,Electrical/Geyser-Thermostat.jpg,"    The circuit breaker at the distribution board is switched on and that the isolator at the geyser is switched on [see diagram below].    Municipality switching times, as the ripple relay may have caused the electric water heater to be switched off.    The house may have a load shedding relay and the geyser may have been switched off by the shedder.If the above are all in order, either the thermostat or element is faulty and should be attended to by a qualified electrician. This is fairly common in a geyser that is more than 3 to 4 years old and is caused by many factors.",Replace Geyser Thermostat,,,1,,"Remove the outer side of the geyser where the electrical connections are wired. This will need screwdrivers for most of the commercial geysers - Now you will see a big knob with temperature markings (usually 0 - 80 degree celsius) coming out of your geyser tank. - slowly track the electrical connections that is going into the thermostat and disconnect them (usually 2 of them) - Now pull the thermostat out - you will see a long rod coming out from the geyser. Now you are successful in pulling your thermostat out. - Now you want me to reverse-repeat the steps for plugging in the new thermostat in ?  BTW...please note to set the temperature mark in the thermostat appropriately. Usually use the same as it was there in your older thermostat. - after plugging in the new thermostat, and you connect the electrical wiring, close the geyser (with whatever you removed) and open the inlet water entry. You need to plugin the power cable and switch it on again. <br><br>Source: Anonymous ","screw drivers, insulation tape - switch off your geyser, and plug out the power cable from the socket/power supply. "
Geyser Leak - Flange Gasket Replacement,task,Geyser,,,Hyderabad,0,Electrical/Flange Gasket.jpg,"Continuous overflow of water. If water drips from the expansion relief, try and determine the volume of water. Water expands when heated and the volume of expanded water is directly proportional to the size of the geyser and the thermostat setting. Still you find overflow problem. That could be Flange Gasket problem",Replacing Geyser Flange Gasket.,,,1,,"1. Shut OFF electric power to water heater. <br><br>2. Shut OFF cold water supply to water heater, open hot water faucet, attach hose to drain valve, open drain valve on water heater and drain water. <br><br>3. Remove access cover and fold back insulation. <br><br>4. Check wires with volt meter/circuit tester for power before attempting to remove wires.<br><br>5. Disconnect electric wires from element.<br><br>6. Remove element mounting bolts using socket wrench. Note position of thermostat bracket to be reinstalled later.<br><br>7. Clean gasket area in tank.<br><br>8. Install gasket into recess in tank. <br><br>9. Install element and thermostat bracket. Tighten bolts in diagonal patter. <br><br>10. Close drain valve and turn ON cold water supply. <br><br>11. Allow all trapped air to escape from open hot water faucet until water has a constant flow. Close hot water faucet. If leakage occurs, shut OFF cold water supply and tighten bolts or reposition gasket. <br><br>12. Secure thermostat firmly against tank surface and under prongs of thermostat bracket. <br><br>13. Inspect wiring. If corrosion is present on wiring, cut and strip wire 1/2"" (Only if wire is long enough). If corrosion is still present, or wire is not long enough consult electrician for wire replacement and wire gauge selection. Loose, corroded or faulty wiring connections can cause heat buildup or fire at wiring terminals <br><br>14. Connect electric wires to element. Tighten screws. <br><br>15. Replace plastic terminal protector.<br><br>16. Replace insulation and access cover. Tank must be properly filled with water and free of air before applying electric power to prevent element damage<br><br>17. Turn ON electric power to water heater.<br><br>Source: PlumbingSupply","screwdriverSocket wrenchYour new elementGarden hoseVolt meter or circuit tester"
